PLZ STADT BEZIRK
3010 Duisburg (Duisburg)
3070 Duisburg (Duisburg)
3080 Duisburg (Duisburg)
46147 Duisburg (Duisburg)
47051 Duisburg (Duisburg)
47053 Duisburg (Duisburg)
47055 Duisburg (Duisburg)
47057 Duisburg (Duisburg)
47058 Duisburg (Duisburg)
47059 Duisburg (Duisburg)
47119 Duisburg (Duisburg)
47137 Duisburg (Duisburg)
47138 Duisburg (Duisburg)
47139 Duisburg (Duisburg)
47166 Duisburg (Duisburg)
47167 Duisburg (Duisburg)
47169 Duisburg (Duisburg)
47178 Duisburg (Duisburg)
47179 Duisburg (Duisburg)
47198 Duisburg (Duisburg)
47199 Duisburg (Duisburg)
47226 Duisburg (Duisburg)
47228 Duisburg (Duisburg)
47229 Duisburg (Duisburg)
47239 Duisburg (Duisburg)
47249 Duisburg (Duisburg)
47259 Duisburg (Duisburg)
47269 Duisburg (Duisburg)
47279 Duisburg (Duisburg)
